[2025-11-02 15:11:28] [INFO    ] discord.client: logging in using static token
[2025-11-02 15:11:28] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-11-02 15:11:28] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-11-02 15:11:28] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1434494876229304381', 'username': "MooTheMew's socials", 'avatar': None, 'discriminator': '2188', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-11-02 15:11:29] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-11-02 15:11:29] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-11-02 15:11:29] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1434494876229304381', 'name': "MooTheMew's socials", 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1434494876229304381', 'username': "MooTheMew's socials", 'avatar': None, 'discriminator': '2188', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '6721a197835fe5b60e8fdce4ab9433e046beb5712096c37fa0d042a7228d3f9b', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '756876533473476720', 'username': 'heartfeltodyssey', 'avatar': '227dbb279aa8ce945f4c6182a168a373', 'discriminator': '0', 'public_flags': 64, 'flags': 64, 'banner': '234f804f72b312fbf32285f9d1e8f6f9', 'accent_color': 16389865, 'global_name': '<3/Wanda', 'avatar_decoration_data': {'asset': 'a_c3cffc19e9784f7d0b005eecdf1b566e', 'sku_id': '1212569433839636530', 'expires_at': None}, 'collectibles': {'nameplate': {'sku_id': '1349849614311751731', 'asset': 'nameplates/nameplates/angels/', 'label': 'COLLECTIBLES_NAMEPLATES_ANGELS_A11Y', 'palette': 'bubble_gum'}}, 'display_name_styles': {'font_id': 7, 'effect_id': 3, 'colors': [16711923]}, 'banner_color': '#fa16e9', 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2272, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-11-02 15:11:29] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-11-02 15:11:29] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-d-45h0",{"micros":0.0}]']}}
[2025-11-02 15:11:29] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-11-02 15:11:29] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
